Date,Open,High,Low,Close,Adj Close,Volume
6/16/2020,229.762299,236.394302,228.426147,234.416168,234.416168,7965648016
6/17/2020,234.492371,235.954056,229.341644,233.028275,233.028275,7701391592
6/18/2020,232.898697,234.570648,228.951431,232.101166,232.101166,6713800872
6/19/2020,231.954971,232.154114,226.795181,227.13829,227.13829,6946372590
6/20/2020,226.976364,231.44902,226.640625,229.274261,229.274261,6252830566
6/21/2020,229.216141,232.358948,228.492996,228.989822,228.989822,5600408178
6/22/2020,229.003372,243.776016,228.934738,242.533188,242.533188,9079586552
6/23/2020,242.537018,244.86441,239.759735,244.142151,244.142151,6624530348
6/24/2020,244.185928,248.508026,232.807739,235.772461,235.772461,8815030025
6/25/2020,235.70285,236.053406,230.2966,232.944489,232.944489,7010426122
6/26/2020,232.877487,233.901932,229.25946,229.668045,229.668045,7187490226
6/27/2020,229.631485,232.493423,220.564575,222.959793,222.959793,6918380955
6/28/2020,222.91449,228.598282,219.472672,225.347168,225.347168,6205925718
6/29/2020,225.361435,229.903214,222.25499,228.19487,228.19487,6726164653
6/30/2020,227.96843,229.476807,224.815186,226.315002,226.315002,6094093001
7/1/2020,226.134583,232.756119,224.835739,231.113419,231.113419,6463737443
7/2/2020,231.28891,232.396881,225.46196,229.392197,229.392197,6212210566
7/3/2020,229.318954,229.629318,224.913971,225.38707,225.38707,5109032700
7/4/2020,225.288483,230.054138,225.133316,229.074112,229.074112,5228310135
7/5/2020,228.976196,229.85672,224.544495,227.664597,227.664597,5292172429
7/6/2020,227.685013,242.132706,227.029526,241.510223,241.510223,8782917553
7/7/2020,240.972595,242.681854,234.218658,239.075531,239.075531,6441497597
7/8/2020,239.159973,248.308868,238.398376,246.670013,246.670013,9892586411
7/9/2020,246.748291,247.291672,239.898651,243.015961,243.015961,8429099199
7/10/2020,242.868011,242.883789,236.73053,240.984985,240.984985,7281370522
7/11/2020,241.044785,241.527481,238.331238,239.458176,239.458176,5643067316
7/12/2020,239.459641,243.311142,237.770218,242.131699,242.131699,6596394718
7/13/2020,242.18187,244.310516,238.232376,239.604584,239.604584,7787751468
7/14/2020,239.975616,242.003784,237.796188,240.211487,240.211487,7357458555
7/15/2020,240.143646,241.402695,237.096176,238.423523,238.423523,6189328448
7/16/2020,238.450912,239.006256,231.62117,233.640884,233.640884,5832057567
7/17/2020,233.691391,234.41507,232.10997,232.773087,232.773087,5859850529
7/18/2020,232.855682,236.543976,232.32489,235.48381,235.48381,5397402117
7/19/2020,235.458298,239.16069,233.279739,238.487518,238.487518,6251377305
7/20/2020,238.494873,239.576248,234.852646,236.153168,236.153168,5600686192
7/21/2020,236.302505,246.186264,235.680969,245.016724,245.016724,6806696015
7/22/2020,245.037262,262.985046,242.484344,262.190643,262.190643,7702077383
7/23/2020,262.388641,277.583466,261.047089,274.689056,274.689056,10281309262
7/24/2020,274.722687,286.192841,269.239777,279.215424,279.215424,9466060358
7/25/2020,279.026367,306.740997,279.026367,304.056763,304.056763,10785021813
7/26/2020,303.692383,316.386322,300.267822,309.643616,309.643616,12003973026
7/27/2020,309.657928,330.701202,309.657928,321.514099,321.514099,15644257058
7/28/2020,321.829742,325.905975,307.721344,316.657257,316.657257,12357108065
7/29/2020,316.555359,324.380798,313.109589,318.190887,318.190887,10878845706
7/30/2020,318.144989,338.631195,315.751099,334.586639,334.586639,11827689045
7/31/2020,334.633728,348.611359,329.340942,345.554657,345.554657,12030600492
8/1/2020,345.798615,388.847961,343.587433,385.199707,385.199707,14045259477
8/2/2020,385.549866,411.228302,357.143646,370.671722,370.671722,18909744275
8/3/2020,371.13385,396.506989,369.336334,386.295166,386.295166,12834648062
8/4/2020,386.156464,400.700623,382.985107,389.875488,389.875488,14086704221
8/5/2020,389.710815,406.303955,386.218475,401.590576,401.590576,12875466638
8/6/2020,401.583862,403.488678,392.600189,394.961945,394.961945,11304626458
8/7/2020,395.226868,398.249023,367.935516,379.512848,379.512848,12751687084
8/8/2020,379.551575,393.987366,377.349731,393.987366,393.987366,9342060531
8/9/2020,395.305237,399.737091,385.830719,391.120453,391.120453,9451065592
8/10/2020,391.041504,399.375946,391.041504,395.887573,395.887573,11685827893
8/11/2020,395.894714,398.478912,370.860626,380.384064,380.384064,12792218737
8/12/2020,380.063812,391.312317,367.923615,391.02417,391.02417,12408772745
8/13/2020,390.838104,432.904602,379.710876,428.741791,428.741791,18480303526
8/14/2020,428.677277,444.577759,423.345856,437.397827,437.397827,15064589987
8/15/2020,437.562988,441.754608,429.874603,433.354919,433.354919,12416067894
8/16/2020,433.350586,436.265839,415.086243,433.786621,433.786621,12168816874
8/17/2020,433.973755,442.734985,422.647278,429.53125,429.53125,13227089410
8/18/2020,429.669617,432.580292,419.674103,423.669312,423.669312,11978984079
8/19/2020,423.738586,427.024658,396.678345,406.463776,406.463776,13137391167
8/20/2020,406.758911,418.734436,404.026093,416.439789,416.439789,10043032427
8/21/2020,416.148773,418.63797,387.441132,389.126343,389.126343,11781796374
8/22/2020,389.031097,396.466583,382.814636,395.835144,395.835144,10131847985
8/23/2020,395.562836,396.490417,385.039795,391.384491,391.384491,8137303970
8/24/2020,391.678986,409.38858,389.314606,408.144196,408.144196,10328860398
8/25/2020,408.071686,408.527924,374.355377,384.001038,384.001038,12428442042
8/26/2020,383.977448,391.87326,378.705841,386.466125,386.466125,9967343483
8/27/2020,386.609863,395.349182,374.866486,382.632629,382.632629,10457777652
8/28/2020,382.629578,397.757629,381.273834,395.874664,395.874664,9120674421
8/29/2020,395.687592,405.616364,393.037415,399.921478,399.921478,8777703481
8/30/2020,399.616699,428.663971,399.608368,428.395721,428.395721,11211948040
8/31/2020,428.509003,438.560333,419.770172,435.079742,435.079742,12774741797
9/1/2020,434.874451,487.211884,432.079193,477.05191,477.05191,18862763756
9/2/2020,477.007874,480.330994,424.460022,440.040497,440.040497,19691854014
9/3/2020,440.23999,449.532471,381.1297,385.671936,385.671936,19622845896
9/4/2020,384.671631,402.411743,371.636688,388.24115,388.24115,16747106257
9/5/2020,388.038391,394.172272,316.774353,335.260071,335.260071,29880047640
9/6/2020,335.334564,359.764038,319.041901,353.362274,353.362274,27643678917
9/7/2020,353.450256,358.211884,326.254364,352.673492,352.673492,21763614732
9/8/2020,353.202271,355.562866,328.816772,337.602112,337.602112,17991403432
